CMOS Winnowing Report
Submissions analyzed: 54
k-mer length: 12 digits
window size: 5 hashes

343. bills_31.c vs bills_49.c | similarity=0.6525 | shared=77 | total=118
344. bills_10.c vs bills_42.c | similarity=0.6522 | shared=90 | total=138
345. bills_21.c vs bills_42.c | similarity=0.6512 | shared=84 | total=129
346. bills_38.c vs bills_46.c | similarity=0.6508 | shared=82 | total=126
347. bills_04.c vs bills_30.c | similarity=0.6504 | shared=80 | total=123
348. bills_05.c vs bills_36.c | similarity=0.6504 | shared=80 | total=123
349. bills_33.c vs bills_48.c | similarity=0.6504 | shared=80 | total=123
350. bills_46.c vs bills_47.c | similarity=0.6504 | shared=80 | total=123
351. bills_30.c vs bills_49.c | similarity=0.6484 | shared=83 | total=128
352. bills_31.c vs bills_42.c | similarity=0.6484 | shared=83 | total=128
353. bills_01.c vs bills_37.c | similarity=0.6480 | shared=81 | total=125
354. bills_25.c vs bills_31.c | similarity=0.6480 | shared=81 | total=125
355. bills_03.c vs bills_50.c | similarity=0.6475 | shared=79 | total=122
356. bills_09.c vs bills_50.c | similarity=0.6475 | shared=79 | total=122
357. bills_50.c vs bills_53.c | similarity=0.6475 | shared=79 | total=122
358. bills_50.c vs bills_54.c | similarity=0.6475 | shared=79 | total=122
359. bills_30.c vs bills_39.c | similarity=0.6475 | shared=90 | total=139
360. bills_28.c vs bills_52.c | similarity=0.6471 | shared=88 | total=136
361. bills_02.c vs bills_40.c | similarity=0.6471 | shared=77 | total=119
362. bills_07.c vs bills_21.c | similarity=0.6471 | shared=77 | total=119
363. bills_16.c vs bills_32.c | similarity=0.6471 | shared=77 | total=119
364. bills_29.c vs bills_43.c | similarity=0.6471 | shared=77 | total=119
365. bills_43.c vs bills_47.c | similarity=0.6471 | shared=77 | total=119
366. bills_10.c vs bills_46.c | similarity=0.6466 | shared=86 | total=133
367. bills_17.c vs bills_48.c | similarity=0.6466 | shared=86 | total=133
368. bills_16.c vs bills_23.c | similarity=0.6462 | shared=84 | total=130
369. bills_01.c vs bills_07.c | similarity=0.6452 | shared=80 | total=124
370. bills_38.c vs bills_42.c | similarity=0.6439 | shared=85 | total=132
371. bills_10.c vs bills_29.c | similarity=0.6434 | shared=83 | total=129
